"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-02,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","0600",-8.00,0.00,"1027",-13.00,0.00,0.00,,,,,,
2017-12-02,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","0055",-9.00,0.00,"0501",-29.00,0.00,0.00,,,,,,
2017-12-02,"DL","FAI","Fairbanks, AK","SEA","Seattle, WA","0100",-11.00,0.00,"0505",-56.00,0.00,0.00,,,,,,
2017-12-02,"DL","SEA","Seattle, WA","ANC","Anchorage, AK","1700",-3.00,0.00,"1937",-4.00,0.00,0.00,,,,,,
2017-12-02,"DL","ANC","Anchorage, AK","SEA","Seattle, WA","1515",-2.00,0.00,"1924",-25.00,0.00,0.00,,,,,,
2017-12-02,"DL","SEA","Seattle, WA","ANC","Anchorage, AK","1145",11.00,11.00,"1435",8.00,8.00,0.00,,,,,,
2017-12-02,"DL","SEA","Seattle, WA","FAI","Fairbanks, AK","1959",-8.00,0.00,"2239",-24.00,0.00,0.00,,,,,,
2017-12-02,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","1153",14.00,14.00,"1311",12.00,12.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","FAI","Fairbanks, AK","1455",-9.00,0.00,"1545",-12.00,0.00,0.00,,,,,,
2017-12-02,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","1700",-19.00,0.00,"1750",-16.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","FAI","Fairbanks, AK","0950",11.00,11.00,"1134",42.00,42.00,0.00,0.00,0.00,31.00,0.00,11.00,
2017-12-02,"AS","ANC","Anchorage, AK","OGG","Kahului, HI","0820",-6.00,0.00,"1347",5.00,5.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","HNL","Honolulu, HI","1625",-5.00,0.00,"2126",-19.00,0.00,0.00,,,,,,
2017-12-02,"AS","HNL","Honolulu, HI","ANC","Anchorage, AK","2335",-4.00,0.00,"0621",-32.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","KOA","Kona, HI","1525",-5.00,0.00,"2037",-13.00,0.00,0.00,,,,,,
2017-12-02,"AS","KOA","Kona, HI","ANC","Anchorage, AK","0900",-11.00,0.00,"1558",-12.00,0.00,0.00,,,,,,
